customer_id,customer_name,city,recency_days,frequency,total_amount_spent,r_score,f_score,m_score
19,"Aarav Deshmukh",Bengaluru,NULL,0,0.00,4,1,1
31,"Aarav Bhasin",Ahmedabad,NULL,0,0.00,4,1,1
35,"Divya Bhat",Bengaluru,NULL,0,0.00,4,1,1
38,"Isha Rao",Lucknow,NULL,0,0.00,4,1,1
61,"Karan Chopra",Lucknow,NULL,0,0.00,4,1,1
70,"Varun Singh",Hyderabad,NULL,0,0.00,5,1,1
83,"Kavya Kumar",Ahmedabad,NULL,0,0.00,5,1,1
116,"Amit Bhasin",Hyderabad,NULL,0,0.00,5,1,1
121,"Ananya Kulkarni",Jaipur,NULL,0,0.00,5,1,1
125,"Isha Patel",Lucknow,NULL,0,0.00,5,1,1
140,"Isha Gupta",Chennai,NULL,0,0.00,5,1,1
147,"Neha Verma",Mumbai,NULL,0,0.00,5,1,1
167,"Aarav Joshi",Chennai,NULL,0,0.00,5,1,1
169,"Varun Bhasin",Jaipur,NULL,0,0.00,5,1,1
170,"Amit Agarwal",Bareilly,NULL,0,0.00,5,1,1
171,"Tanvi Patel",Mumbai,NULL,0,0.00,5,1,1
172,"Neha Bhasin",Chandigarh,NULL,0,0.00,5,1,1
173,"Vikram Gupta",Kolkata,NULL,0,0.00,5,1,1
174,"Aarav Verma",Jaipur,NULL,0,0.00,5,1,1
175,"Tanvi Saxena",Chennai,NULL,0,0.00,5,1,1
176,"Karan Mehta",Surat,NULL,0,0.00,5,1,1
177,"Riya Singh",Mumbai,NULL,0,0.00,5,1,1
178,"Amit Kumar",Ahmedabad,NULL,0,0.00,5,1,1
179,"Vikram Joshi",Chandigarh,NULL,0,0.00,5,1,1
180,"Divya Bhat",Jaipur,NULL,0,0.00,5,1,1
181,"Rohan Kumar",Bareilly,NULL,0,0.00,5,1,1
182,"Aditya Agarwal",Bengaluru,NULL,0,0.00,5,1,1
183,"Pooja Kumar",Lucknow,NULL,0,0.00,5,1,1
184,"Siddharth Patel",Delhi,NULL,0,0.00,5,1,1
185,"Sneha Iyer",Hyderabad,NULL,0,0.00,5,1,1
186,"Isha Joshi",Lucknow,NULL,0,0.00,5,1,1
187,"Ananya Deshmukh",Bareilly,NULL,0,0.00,5,1,1
188,"Aditya Nair",Chennai,NULL,0,0.00,5,1,1
189,"Pooja Iyer",Surat,NULL,0,0.00,5,1,1
190,"Rahul Malhotra",Kolkata,NULL,0,0.00,5,1,1
191,"Priya Malhotra",Kolkata,NULL,0,0.00,5,1,1
192,"Kavya Mehta",Chennai,NULL,0,0.00,5,1,1
193,"Riya Singh",Hyderabad,NULL,0,0.00,5,1,1
194,"Karan Kulkarni",Delhi,NULL,0,0.00,5,1,1
195,"Kavya Saxena",Bareilly,NULL,0,0.00,5,1,1
196,"Karan Kulkarni",Hyderabad,NULL,0,0.00,5,2,2
197,"Neha Joshi",Bengaluru,NULL,0,0.00,5,2,2
198,"Aditya Sharma",Bareilly,NULL,0,0.00,5,2,2
199,"Siddharth Kumar",Mumbai,NULL,0,0.00,5,2,2
200,"Priya Reddy",Kolkata,NULL,0,0.00,5,2,2
48,"Neha Sharma",Delhi,664,1,1136.19,1,2,2
44,"Isha Iyer",Kolkata,487,1,9216.10,1,2,2
79,"Neha Bhat",Pune,533,1,18835.10,1,2,2
138,"Riya Joshi",Bareilly,195,1,21838.82,2,2,2
156,"Riya Deshmukh",Pune,25,2,26543.98,4,3,2
120,"Siddharth Sharma",Lucknow,397,1,39413.68,1,2,2
40,"Priya Kumar",Surat,12,1,50913.88,4,2,2
28,"Divya Reddy",Mumbai,729,1,51309.18,1,2,2
150,"Sneha Nair",Chandigarh,311,1,55386.07,2,2,2
148,"Kavya Chopra",Delhi,253,2,55563.13,2,3,2
126,"Varun Deshmukh",Kolkata,596,1,75103.51,1,2,2
129,"Aditya Iyer",Bareilly,135,2,87171.58,3,3,2
95,"Pooja Kumar",Delhi,279,1,90880.37,2,2,2
110,"Tanvi Kumar",Kolkata,472,1,104845.08,1,2,2
96,"Isha Deshmukh",Jaipur,435,1,106058.85,1,2,2
98,"Rahul Joshi",Bengaluru,112,3,107840.47,3,4,2
8,"Karan Chopra",Delhi,643,2,108855.24,1,2,2
65,"Riya Saxena",Chennai,58,2,115055.06,4,3,2
145,"Riya Deshmukh",Chennai,454,1,116319.57,1,2,2
164,"Divya Bhasin",Surat,65,3,123597.79,3,4,2
6,"Riya Chopra",Surat,367,1,128713.78,1,2,2
27,"Ananya Gupta",Ahmedabad,414,1,134200.32,1,2,2
71,"Amit Rao",Chandigarh,361,1,149336.84,1,2,2
103,"Divya Patel",Pune,280,1,150887.79,2,2,2
58,"Rohan Iyer",Chandigarh,247,2,161905.15,2,3,2
4,"Tanvi Mehta",Jaipur,262,3,166160.43,2,3,2
20,"Karan Bhasin",Hyderabad,612,2,171500.72,1,2,2
43,"Aditya Saxena",Bareilly,88,2,201494.74,3,3,2
42,"Riya Sharma",Hyderabad,400,2,205733.64,1,2,2
134,"Kavya Kulkarni",Surat,53,2,206446.19,4,3,2
141,"Aditya Rao",Chandigarh,408,1,207523.34,1,2,2
78,"Kavya Agarwal",Kolkata,521,1,209772.22,1,2,2
168,"Amit Malhotra",Hyderabad,273,3,215763.68,2,3,2
94,"Rohan Bhat",Surat,525,1,217533.35,1,2,2
151,"Aditya Reddy",Ahmedabad,276,1,234311.37,2,2,2
107,"Rahul Agarwal",Chennai,153,4,237258.89,3,4,3
57,"Aditya Iyer",Jaipur,479,1,239810.02,1,2,3
33,"Tanvi Bhat",Chennai,427,1,240321.60,1,2,3
122,"Vikram Iyer",Bengaluru,331,3,241443.33,2,3,3
34,"Kavya Chopra",Hyderabad,307,2,243228.88,2,3,3
5,"Isha Rao",Delhi,70,3,249229.05,3,4,3
66,"Ananya Singh",Pune,255,2,254262.55,2,3,3
163,"Rahul Bhat",Chennai,197,2,256026.53,2,3,3
118,"Aarav Patel",Chandigarh,591,2,258550.07,1,2,3
63,"Varun Rao",Mumbai,590,2,261243.59,1,2,3
111,"Divya Iyer",Surat,23,3,265842.14,4,4,3
157,"Aarav Saxena",Bengaluru,43,2,269570.41,4,3,3
75,"Neha Nair",Surat,294,3,270548.18,2,3,3
109,"Rahul Joshi",Mumbai,52,2,271828.28,4,3,3
7,"Kabir Gupta",Delhi,339,2,275515.41,1,2,3
132,"Neha Agarwal",Bengaluru,224,2,276481.64,2,3,3
149,"Vikram Bhasin",Ahmedabad,242,2,287065.05,2,3,3
90,"Neha Iyer",Delhi,381,2,288832.24,1,2,3
97,"Vikram Kulkarni",Delhi,45,2,296163.83,4,3,3
14,"Ananya Bhasin",Bengaluru,421,2,298664.77,1,2,3
152,"Neha Chopra",Chandigarh,484,2,301243.76,1,2,3
112,"Rohan Reddy",Bareilly,233,3,307273.46,2,3,3
39,"Varun Kulkarni",Kolkata,325,2,308767.94,2,3,3
128,"Kabir Saxena",Chandigarh,138,3,311451.95,3,4,3
17,"Divya Saxena",Surat,11,4,319677.39,4,5,3
46,"Kabir Joshi",Mumbai,80,3,320422.80,3,4,3
89,"Pooja Sharma",Chennai,140,3,322577.53,3,4,3
